palabra,pista,
absoluto,ilimitado/incondicional/rotundo/completo/absolutista/invariable/dominante/imperioso/mandon/despotico/tirano/opresor/tajante/inmutable/dictador/despota/autoritario/totalitario/imperialista/categorico/total/definitivo,
absolutoria,adjetivo_inicia_con_a,
absolutorio,eximente/exculpatorio,
absolvedor,adjetivo_inicia_con_a,
absolvedora,adjetivo_inicia_con_a,
absorbenta,adjetivo_inicia_con_a,
absorbente,excitante/electrizante/estimulante/arrebatador/apasionante/delirante/emocionante,
absorta,adjetivo_inicia_con_a,
absorto,boquiabierto/distraido/abismado/atonito/pensativo/enajenado/ensimismado/concentrado/ausente/pasmado/admirado/abstraido/ido/abastraido/meditabundo/caviloso/patidifuso/embebido/patitieso,
abstemia,sobria/noconsumelicor,
abstemio,aguado/sobrio/enofobo/frugal,
abstencionista,a_favor_absetencion,
abstracto,impreciso/conceptual/universal/general/ideal/puro/vago/inconcreto/indefinido/inmaterial/espiritual/indeterminado,
abstraido,ensimismado/concentrado/absorto/pasmado/caviloso/pensativo/abismado/embebido/meditabundo,
abstruso,ininteligible/recondito/indescifrable/inaccesible/insondable/incomprensible/impenetrable,
absurda,disparatada/descabellada/ilogica,
absurdo,disparatado/descabellado/ilogico/incongruencia/desatinado/disparate/insensatez/sin fuste/desatino/irracional/insensato,
abuhada,adjetivo_inicia_con_a,
abuhado,adjetivo_inicia_con_a,
abuhardillada,adjetivo_inicia_con_a,
abuhardillado,adjetivo_inicia_con_a,
abultada,robusta/barrigona/corpulenta,
abultado,robusto/inflado/craso/barrigon/barrigudo/tumefacto/rollizo/bulboso/dilatado/tripudo/macanudo/desmesurado/gordo/corpulento/recio/enorme/hinchado/desproporcionado/obeso/abullonado/vigoroso/gordinflas/panzudo/atocinado/recia/fuerte/tuberoso/grande/gordinflon/valiente/voluminoso/grueso,
abundante,que_hay_mucho,
abundosa,adjetivo_inicia_con_a,
abundoso,adjetivo_inicia_con_a,
aburelada,adjetivo_inicia_con_a,
aburelado,adjetivo_inicia_con_a,
aburrida,adjetivo_inicia_con_a,
aburrido,pesado/gris/cansado/mediocre/monotono/soso/fastidiado/corriente/anodino/hastiado/vulgar/ahito/soporifero/tedioso/harto/apagado,
aburridor,adjetivo_inicia_con_a,
aburridora,adjetivo_inicia_con_a,
abusada,perspicaz,
abusado,perspicaz,
abusador,adjetivo_inicia_con_a,
abusadora,adjetivo_inicia_con_a,
abusiva,injusto/aplastante/subyugador/dictatorial/arrolaldor/arbitrario/avasallador,
abusivo,desorbitado/subjetivo/exagerado/inmoderado/leonino/desmesurado/desmedido/injustificado/improcedente/injusto/parcial/infundado/despotico/exorbitante/desproporcionado/rocambolesco/gratuito/excesivo/caprichoso/arbitrario,
abuson,logrero/explotador/despota/negrero/tirano/opresor,
abusona,adjetivo_inicia_con_a,
abyecta,rastrera,
abyecto,innoble/ignominioso/abominable/humillado/bajo/infame/reprobable/ruin/despreciable/rastrero/adulador/indigno/vil/ominoso/execrable,
acabable,que_se_puede_acabar,
acabada,adjetivo_inicia_con_a,
acabado,extinto/agotado/rematado/fracasado/arruinado/perfecto/conseguido/completo/viejo/sofocado/logrado/gastado/destruido/extinguido/terminado/consumido/apagado,
acabador,adjetivo_inicia_con_a,
acabadora,adjetivo_inicia_con_a,
acaballada,adjetivo_inicia_con_a,
acaballado,adjetivo_inicia_con_a,
acaciana,adjetivo_inicia_con_a,
acaciano,adjetivo_inicia_con_a,
academica,adjetivo_inicia_con_a,
academico,clasico/colegial/normativo/culto/purista/docente/escolar/universitario,
acadia,adjetivo_inicia_con_a,
acadio,adjetivo_inicia_con_a,
acalefa,adjetivo_inicia_con_a,
acalefo,adjetivo_inicia_con_a,
acalorada,adjetivo_inicia_con_a,
acalorado,conmovido/ardoroso/bullente/arrobado/alterado/espumoso/bullicioso/entusiastico/enardecido/fuera de si/burbujeante/agitado/entusiasmado/efervescente/espumeante/exaltado/hirviente/arrebatado/apasionado/cautivado/embelesado,
acampanada,adjetivo_inicia_con_a,
acampanado,abocinado/atrompetado,
acanelada,con_sabor_a_canela,
acanelado,con_sabor_a_canela,
acanillada,adjetivo_inicia_con_a,
acanillado,adjetivo_inicia_con_a,
acantacea,adjetivo_inicia_con_a,
acantaceo,adjetivo_inicia_con_a,
acantilada,adjetivo_inicia_con_a,
acantilado,escarpadura/escarpa/escabrosidad/declive/abismo/precipicio/cuesta,
acantopterigia,adjetivo_inicia_con_a,
acantopterigio,adjetivo_inicia_con_a,
acaparador,adjetivo_inicia_con_a,
acaparadora,adjetivo_inicia_con_a,
acariciador,adjetivo_inicia_con_a,
acariciadora,adjetivo_inicia_con_a,
acarreadiza,adjetivo_inicia_con_a,
acarreadizo,adjetivo_inicia_con_a,
acarreador,adjetivo_inicia_con_a,
acarreadora,adjetivo_inicia_con_a,
acasarado,sustantivo-inicia-con-a,
acastorada,adjetivo_inicia_con_a,
acastorado,adjetivo_inicia_con_a,
acaudalada,adjetivo_inicia_con_a,
acaudalado,opulento/afortunado/prospero/establecido/multimillonario/colocado/pudiente/feliz/situado/poderoso/fastuoso/rico/millonario/acoplado/acomodado/ricachon/dichoso/creso/boyante/adinerado/magnate/potentado,
accesoria,adjetivo_inicia_con_a,
accesorio,paramento/prescindible/suplemento/circunstancial/exterior/adminiculo/guarnicion/extrinseco/aderezo/complemento/accidental/marginal/ornato/auxiliar/anecdotico/secundario/utensilio/adjetivo/adorno/complementario,
accidental,adjetivo_inicia_con_a,
accidentaria,adjetivo_inicia_con_a,
accidentario,adjetivo_inicia_con_a,
accionaria,adjetivo_inicia_con_a,
accionarial,adjetivo_inicia_con_a,
accionario,adjetivo_inicia_con_a,
accionista,propietario_de_acciones,
accitana,adjetivo_inicia_con_a,
accitano,adjetivo_inicia_con_a,
acebollada,adjetivo_inicia_con_a,
acebollado,adjetivo_inicia_con_a,
acechador,adjetivo_inicia_con_a,
acechadora,adjetivo_inicia_con_a,
acechante,que_acecha,
aceda,adjetivo_inicia_con_a,
acedo,adjetivo_inicia_con_a,
acefala,adjetivo_inicia_con_a,
acefalo,decapitado/descabezado,
aceitera,alcuza,
aceitero,adjetivo_inicia_con_a,
aceitosa,mantecosa/grasosa,
aceitoso,lipoideo/oleaginoso/untuoso/sebaceo/mantecoso/viscoso/graso/grasoso/grasiento/untoso,
aceituna,fruto_del_olivo,
aceitunada,adjetivo_inicia_con_a,
aceitunado,cetrino/olivaceo/verdoso,
aceitunil,aceitunado,
aceituno,olivo,
acelerada,adjetivo_inicia_con_a,
acelerado,rabion/escopetado/apresurado/diligente/precipitado/veloz/presto/activo/pronto/presuroso/rapido/vertiginoso/agil/lanzado/ligero/raudo,
acelerador,adjetivo_inicia_con_a,
aceleradora,adjetivo_inicia_con_a,
acemilera,adjetivo_inicia_con_a,
acemilero,peon/labriego/mulero/arriero/paleto/ganan/bracero/jornalero,
acendrada,adjetivo_inicia_con_a,
acendrado,acrisolado/limpio/puro/aquilatado/depurado/integro/irreprochable/honorable/intachable,
acepta,adjetivo_inicia_con_a,
aceptable,aprobado,
aceptador,adjetivo_inicia_con_a,
aceptadora,adjetivo_inicia_con_a,
acepto,adjetivo_inicia_con_a,
aceptor,adjetivo_inicia_con_a,
aceptora,adjetivo_inicia_con_a,
acerada,adjetivo_inicia_con_a,
acerado,ofensivo/agudo/caustico/afilado/mordaz/duro/acido/resistente/hiriente/incisivo,
acerba,adjetivo_inicia_con_a,
acerbo,agrio/desapacible/acre/intransigente/despiadado/duro/hurano/acido/rudo/aspero/amargo/desagradable/adusto/cruel/incisivo,
acerina,adjetivo_inicia_con_a,
acerino,adjetivo_inicia_con_a,
acertada,correcta,
acertado,preciso/correcto/favorecedor/eficaz/feliz/favoreciente/idoneo/apto/justo/debido/oportuno/conveniente/adecuado/apropiado/exacto/indicado/atinado/cabal/embellecedor,
acertador,adjetivo_inicia_con_a,
acertadora,adjetivo_inicia_con_a,
acetica,adjetivo_inicia_con_a,
acetico,adjetivo_inicia_con_a,
acetilsalicilico,sustantivo-inicia-con-a,
acetosa,adjetivo_inicia_con_a,
acetoso,adjetivo_inicia_con_a,
achacosa,adjetivo_inicia_con_a,
achacoso,delicado/fragil/enfermizo/decrepito/enclenque/marchito/valetudinario,
achampanada,adjetivo_inicia_con_a,
achampanado,adjetivo_inicia_con_a,
achaparrada,adjetivo_inicia_con_a,
achaparrado,gordo/desmedrado/regordete/bajo/chaparro/liliputiense/enano/pigmeo/rechoncho/pequeno,
achicador,adjetivo_inicia_con_a,
achicadora,adjetivo_inicia_con_a,
achiquillada,adjetivo_inicia_con_a,
achiquillado,adjetivo_inicia_con_a,
achocolatada,adjetivo_inicia_con_a,
achocolatado,adjetivo_inicia_con_a,
aciaga,adjetivo_inicia_con_a,
aciago,funebre/hostil/negro/ominoso/infortunado/azaroso/mortal/desdichado/contrario/amenazador/nefasto/fatidico/desventurado/desafortunado/sombrio/infausto/adverso/macabro/negativo/desfavorable/luctuoso/tetrico/infeliz/fatal/desgraciado/opuesto/triste/siniestro/lugubre/perjudicial/funesto,
acicalada,adjetivo_inicia_con_a,
acicalado,adecentado/engalanado/preparado/compuesto/encopetado/higienico/atildado/endomingado/apanado/enjabonado/almidonado/aclarado/pulcro/relamido/barrido/limpio/purificado/arreglado/estirado/lavado/fregado/aviado/lamido/pulido/cuidadoso/peripuesto/emperejilado/emperifollado/aseado,
acicalador,adjetivo_inicia_con_a,
acicaladora,adjetivo_inicia_con_a,
acida,adjetivo_inicia_con_a,
acidalia,adjetivo_inicia_con_a,
acidalio,adjetivo_inicia_con_a,
acidiosa,adjetivo_inicia_con_a,
acidioso,adjetivo_inicia_con_a,
acido,adjetivo_inicia_con_a,
acidula,adjetivo_inicia_con_a,
acidulo,adjetivo_inicia_con_a,
acimo,sustantivo-inicia-con-a,
aclamador,adjetivo_inicia_con_a,
aclamadora,adjetivo_inicia_con_a,
aclarada,adjetivo_inicia_con_a,
aclarado,lavado/barrido/fregado/engalanado/limpio/enjabonado/compuesto/higienico/pulcro/purificado/atildado/acicalado/arreglado/aseado,
aclarador,adjetivo_inicia_con_a,
aclaradora,adjetivo_inicia_con_a,
aclaratoria,adjetivo_inicia_con_a,
aclaratorio,revelador/dilucidador/esclarecedor/iluminador/explicativo/ilustrativo,
acodada,adjetivo_inicia_con_a,
acodado,adjetivo_inicia_con_a,
acomedida,servicial,
acomedido,servicial_masculino,
acometedor,adjetivo_inicia_con_a,
acometedora,adjetivo_inicia_con_a,
acomodada,que_esta_comodo,
acomodadiza,adjetivo_inicia_con_a,
acomodadizo,acomodaticio,
acomodado,opulento/afortunado/prospero/completo/boyante/establecido/colocado/pudiente/aburguesado/feliz/burgues/situado/justo/poderoso/fastuoso/rico/acaudalado/acoplado/proporcionado/exacto/dichoso/cabal/integro/adinerado/capitalista/cumplido/potentado,
acomodador,adjetivo_inicia_con_a,
acomodadora,adjetivo_inicia_con_a,
acomodaticia,adjetivo_inicia_con_a,
acomodaticio,docil/facil/tratable/acomodadizo/obediente/manejable,
acompasada,adjetivo_inicia_con_a,
acompasado,sincronico/ritmico/medido/regular/cadencioso/armonioso,
acondicionador,adjetivo_inicia_con_a,
acondicionadora,adjetivo_inicia_con_a,
acondroplasica,adjetivo_inicia_con_a,
acondroplasico,adjetivo_inicia_con_a,
acongojador,adjetivo_inicia_con_a,
acongojadora,adjetivo_inicia_con_a,
aconsejada,adjetivo_inicia_con_a,
aconsejado,avisado/juicioso/asesorado/sensato/advertido/prudente/recomendado,
aconsejador,adjetivo_inicia_con_a,
aconsejadora,adjetivo_inicia_con_a,
acontecedera,adjetivo_inicia_con_a,
acontecedero,adjetivo_inicia_con_a,
acoplador,adjetivo_inicia_con_a,
acopladora,adjetivo_inicia_con_a,
acorazada,sustantivo-inicia-con-a,
acorazonada,adjetivo_inicia_con_a,
acorazonado,adjetivo_inicia_con_a,
acorchada,adjetivo_inicia_con_a,
acorchado,adjetivo_inicia_con_a,
acordada,adjetivo_inicia_con_a,
acordado,preciso/adaptado/establecido/resuelto/convenido/juicioso/pactado/amoldonado/encajado/justo/concertado/determinado/ajustado/sensato/calibrado/puntual/acoplado/exacto/cabal,
acorde,conforme/tres_sonidos_combinados,
acordeonista,persona_que_toca_el_acordeon,
acosador,adjetivo_inicia_con_a,
acosadora,adjetivo_inicia_con_a,
acostada,adjetivo_inicia_con_a,
acostado,tumbado/recostado/echado,
acostumbrada,adjetivo_inicia_con_a,
acostumbrado,experto/ducho/frecuente/continuo/constante/habituado/familiar/normal/habitual/comun/cursado/sabido/asiduo/ordinario/baqueteado/experimentado/general/perseverante/avezado/usual/conocido,
acre,medida_de_superficie,
acrecentador,adjetivo_inicia_con_a,
acrecentadora,adjetivo_inicia_con_a,
acreditada,adjetivo_inicia_con_a,
acreditado,verdadero/autorizado/puro/competente/facultado/predominante/conocido/autentico/poderoso/renombrado/influyente/respetado/prestigioso/calificado/natural/propio/destacado/genuino/relacionado,
acreditativa,adjetivo_inicia_con_a,
acreditativo,adjetivo_inicia_con_a,
acreedor,reclamante/merecedor/digno/solicitante/demandante/fiador,
acreedora,adjetivo_inicia_con_a,
acrilica,adjetivo_inicia_con_a,
acrilico,adjetivo_inicia_con_a,
acrisolador,adjetivo_inicia_con_a,
acrisoladora,adjetivo_inicia_con_a,
acristalada,adjetivo_inicia_con_a,
acristalado,adjetivo_inicia_con_a,
acrobata,que_hace_acrobacias,
acrobatica,adjetivo_inicia_con_a,
acrobatico,deportivo/gimnastico/agil/atletico/ligero,
actinomorfa,adjetivo_inicia_con_a,
actinomorfo,adjetivo_inicia_con_a,
activista,militante_de_movimiento_social,
activo,nervioso/presto/fuguillas/eficaz/ligero/raudo/acelerado/culo de mal asiento/diligente/vivaracho/haber/tenaz/intranquilo/rapido/inquieto/azogado/hacendoso/esforzado/agitado/pronto/agil/trabajador/veloz/presuroso/afanoso/laborioso/operativo/favor/operante/buscavidas,
actual,relativo_al_tiempo_presente,
actualizada,puesta_al_dia,
actualizado,puesto_al_dia,
actualizador,adjetivo_inicia_con_a,
actualizadora,adjetivo_inicia_con_a,
acuario,deposito_agua_con_animales_vivos,
acuatica,adjetivo_inicia_con_a,
acuatico,empapado/maritimo/fluvial/aguado/marino/hidrologico/acuoso/mojado/fluido/humedo,
acuchillador,adjetivo_inicia_con_a,
acuchilladora,adjetivo_inicia_con_a,
acuciador,adjetivo_inicia_con_a,
acuciadora,adjetivo_inicia_con_a,
acuciosa,adjetivo_inicia_con_a,
acucioso,adjetivo_inicia_con_a,
acuea,adjetivo_inicia_con_a,
acueo,adjetivo_inicia_con_a,
acuifera,adjetivo_inicia_con_a,
acuifero,adjetivo_inicia_con_a,
acultural,sin_cultura,
acumulado,sustantivo-inicia-con-a,
acumulador,pila/deposito/condensador/bateria,
acumuladora,adjetivo_inicia_con_a,
acumulativa,adjetivo_inicia_con_a,
acumulativo,adjetivo_inicia_con_a,
acuosa,adjetivo_inicia_con_a,
acuoso,empapado/maritimo/fluvial/aguado/marino/hidrologico/mojado/acuatico/fluido/humedo,
acusada,persona_a_quien_se acusa,
acusado,acentuado/imputado/demandado/dibujado/perceptible/querellado/marcado/denunciado/destacado/reo/inculpado/procesado/pronunciado,
acusador,adjetivo_inicia_con_a,
acusadora,adjetivo_inicia_con_a,
acusatoria,adjetivo_inicia_con_a,
acusatorio,adjetivo_inicia_con_a,
acusete,sustantivo-inicia-con-a,
acuson,soplon/chivato/acusica/delator,
acusona,adjetivo_inicia_con_a,
acustica,adjetivo_inicia_con_a,
acustico,sonoro/auditivo,
acutangulo,sustantivo-inicia-con-a,
adamada,adjetivo_inicia_con_a,
adamado,adjetivo_inicia_con_a,
adamantina,adjetivo_inicia_con_a,
adamantino,adjetivo_inicia_con_a,
adaptable,que_se_puede_adaptar,
adaptador,adjetivo_inicia_con_a,
adaptadora,adjetivo_inicia_con_a,
adaptativa,adjetivo_inicia_con_a,
adaptativo,adjetivo_inicia_con_a,
adecuada,que_se_puede_usar,
adecuado,preciso/afin/habitable/aparejado/correcto/favorecedor/eficaz/concorde/feliz/conforme/favoreciente/coherente/idoneo/apto/justo/acondicionado/consonante/debido/ajustado/oportuno/acertado/conveniente/arreglado/apropiado/exacto/indicado/atinado/cabal/embellecedor/disponible/razonable,
adelantada,adjetivo_inicia_con_a,
adelantado,precoz/aventajado/superior/destacado/avanzado,
adelantador,adjetivo_inicia_con_a,
adelantadora,adjetivo_inicia_con_a,
adelgazador,adjetivo_inicia_con_a,
adelgazadora,adjetivo_inicia_con_a,
adenoidea,adjetivo_inicia_con_a,
adenoideo,adjetivo_inicia_con_a,
adepta,adjetivo_inicia_con_a,
adepto,incondicional/legal/leal/fiel/amigo/seguidor/partidario/proselito/entusiasta/adicto/forofo/fidedigno/hincha/honrado/simpatizante/fanatico/noble/admirador/fan/devoto/apasionado,
adhesiva,adjetivo_inicia_con_a,
adhesivo,adherente/goma/aglutinante/cola/pegajoso/cohesivo/pegamento,
adicion,sustantivo-inicia-con-a,
adicionador,adjetivo_inicia_con_a,
adicionadora,adjetivo_inicia_con_a,
adicional,que_se_suma_o_agrega,
adicta,adjetivo_inicia_con_a,
adictiva,adjetivo_inicia_con_a,
adictivo,adjetivo_inicia_con_a,
adicto,entusiasta/drogodependiente/incondicional/simpatizante/fanatico/dependiente/yonqui/enganchado/fan/adepto/forofo/apasionado/seguidor,
adiestrada,adjetivo_inicia_con_a,
adiestrado,preceptor/experto/perito/amaestrado/maestro/profesor/domesticado/musico/domado/avezado/manso/habil/pedagogo,
adiestrador,amaestrador,
adiestradora,adjetivo_inicia_con_a,
adinerada,adjetivo_inicia_con_a,
adinerado,opulento/establecido/multimillonario/potentado/colocado/pudiente/aburguesado/burgues/poderoso/rico/acaudalado/millonario/acoplado/acomodado/ricachon/creso/capitalista/magnate/situado,
adintelado,sustantivo-inicia-con-a,
adiposa,adjetivo_inicia_con_a,
adiposo,gordo/graso/obeso,
aditiva,adjetivo_inicia_con_a,
aditivo,adjetivo_inicia_con_a,
adivinador,adjetivo_inicia_con_a,
adivinadora,adjetivo_inicia_con_a,
adjetiva,adjetivo_inicia_con_a,
adjetivo,accidental/secundario/calificativo/epiteto/apelativo/circunstancial/accesorio,
adjudicador,adjetivo_inicia_con_a,
adjudicadora,adjetivo_inicia_con_a,
adjunta,adjetivo_inicia_con_a,
adjunto,fusionado/yuxtapuesto/adherido/vecino/ligado/adyacente/lateral/contiguo/limitrofe/supletorio/colateral/anejo/fronterizo/junto/agregado/unido/acoplado/anexo/proximo/inmediato/conexo/cercano/pegado,
adjutor,adjetivo_inicia_con_a,
adjutora,adjetivo_inicia_con_a,
administrada,adjetivo_inicia_con_a,
administrado,adjetivo_inicia_con_a,
administrador,regente/albacea/gobernante/mandatario/apoderado/directivo/intendente/custodio/gerente/tutor/fideicomisario/fiduciario/dirigente/gestor/testamentario/legatario/regidor/jefe/delegado/gobernador/representante/autoridad/director,
administradora,adjetivo_inicia_con_a,
administrativa,adjetivo_inicia_con_a,
administrativo,oficinesco/burocratico/funcionario/burocrata/oficinista/oficial/chupatintas,
admirador,entusiasta/inclinado/hincha/simpatizante/apegado/adepto/aficionado/fan/devoto/seguidor/partidario/proselito,
admiradora,adjetivo_inicia_con_a,
admirativa,adjetivo_inicia_con_a,
admirativo,ponderativo/exclamativo,
admisible,que_se_puede_aceptar,
admonitoria,adjetivo_inicia_con_a,
admonitorio,adjetivo_inicia_con_a,
adobador,adjetivo_inicia_con_a,
adobadora,adjetivo_inicia_con_a,
adocenada,adjetivo_inicia_con_a,
adocenado,docil/aborregado/emborregado/mediocre/vulgar/gregario/borreguil/servil,
adolescente,que_esta_en_adolescencia,
adoptable,que_se_puede_adoptar,
adoptador,adjetivo_inicia_con_a,
adoptadora,adjetivo_inicia_con_a,
adoptante,que_adopta,
adoptiva,adjetivo_inicia_con_a,
adoptivo,prohijado/recogido/adoptado/acogido,
adorador,entusiasta/amante/enamorado/aficionado/fan/apasionado,
adoradora,adjetivo_inicia_con_a,
adoratriz,que_adora,
adormecedor,adjetivo_inicia_con_a,
adormecedora,adjetivo_inicia_con_a,
adornador,adjetivo_inicia_con_a,
adornadora,adjetivo_inicia_con_a,
adosada,adjetivo_inicia_con_a,
adosado,adyacente/adherido/pegado/contiguo/unido/junto/anexo/arrimado,
adquirente,que_adquiere,
adquirido,sustantivo-inicia-con-a,
adquisidor,adjetivo_inicia_con_a,
adquisidora,adjetivo_inicia_con_a,
adquisitiva,adjetivo_inicia_con_a,
adquisitivo,adjetivo_inicia_con_a,
adragante,sustantivo-inicia-con-a,
adriatica,adjetivo_inicia_con_a,
adriatico,adjetivo_inicia_con_a,
aduanera,adjetivo_inicia_con_a,
aduanero,adjetivo_inicia_con_a,
aductor,adjetivo_inicia_con_a,
aductora,adjetivo_inicia_con_a,
